UPL/Abamecal.pdf, , , UPL, , , , , 
./Evito_T.pdf, 1644, , ., , Fluoxastrobin, +, Tebuconazole, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Floramite.pdf, 2300, , ., , Bifenazate, INSECTICIDA, Polvo, Mojable, -, WP, 
./Propaisint.pdf, , PROPASINT, 4, EC, ., , Propanil, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Rastreador.pdf, 2174, , ., UPL, COLOMBIA, S.A.S, Fipronil, +, Beta, cipermetrina, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Pencal_WG.pdf, 0587, , ., , Diuron, HERBICIDA, Gránulos, Dispersables, -, WG, 
./Stamone.pdf, 2386, STAMONE, ., , Propanil, +, Clomazone, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Canel.pdf, 0962, , ., , Dimetomorph, FUNGICIDA, Polvo, Mojable, -, WP, 
./Evoxyl_720.pdf, 0161, , ., , Metalaxyl, +, Mancozeb, FUNGICIDA, Polvo, Mojable, -, WP, 
./Fastmite.pdf, 2090, , ., , Bifenazate, INSECTICIDA, Gránulos, Dispersables, -, WG, 
./Cipermetrina_20.pdf, 0306, CIPERMETRINA, 20, EC, ., , Cipermetrina, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Cordial.pdf, 0584, , ., , 2,4, D, +, Picloram, HERBICIDA, Concentrado, Soluble, -, SL, 
./Glifocafe.pdf, 2460, , ., , Glifosato, HERBICIDA, Concentrado, Soluble-, SL, 
./Esiom.pdf, 1857, ESIOM, 150, SL, ., , Acetamiprid, +, Cipermetrina, INSECTICIDA, Concentrado, Soluble, -, SL, 
./Dantotsu.pdf, 0254, , ., , Clothianidin, INSECTICIDA, Gránulos, Dispersables, -, WG, 
./Dimilin_25_WP.pdf, 2469, DIMILIN, 25, WP, ., , Diflubenzuron, INSECTICIDA, Polvo, Mojable, -, WP, 
./Select_one_pack.pdf, 1943, SELECT, ONE, PACK, ., , Clethodim, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Optix.pdf, 1422, , ., , Azoxystrobin, +, Tebuconazole, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Terrazole.pdf, 0116, , ., CHEMTURA, COLOMBIA, LTDA, Etridiazole, fungicida, Polvo, Mojable, -, WP, 
./Curetes.pdf, 1423, , ., , Procloraz, FUNGICIDA, Emulsión, aceite, en, agua, -, EW, 
./Cut.pdf, 0887, , ., , Quinclorac, HERBICIDA, Suspensión, Concentrada, -, SC, 
./Diprospero.pdf, , , ., , Dimetomorph, +, Propamocarb, fungicida, Suspensión, Concentrada, -, SC, 
./Abamecal.pdf, 0017, , ., ARYSTA, LIFESCIENCE, S.A.S, Abamectina, INSECTICIDA, Concentrado, Emulsionable, (EC), 
./Mildium.pdf, 0344, , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Hexaconazole, fungicida, Suspensión, Concentrada, SC, 
./Fungitox.pdf, 0325, , ., , Clorotalonil, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Curaxil.pdf, 0824, , ., , Cymoxanil, +, Mancozeb, FUNGICIDA, Polvo, Mojable, –, WP, 
./Dominex.pdf, 2441, , ., , Alfa, cipermetrina, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Manzate.pdf, 2463, , ., , Mancozeb, FUNGICIDA, Gránulos, Dispersables, -, WG, 
./Bullforce.pdf, 01323, BULLFORCE, 40, SC, ., , Pyrimethanil, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Kalach.pdf, 0516, , ., , Glifosato, HERBICIDA, Concentrado, Soluble-, SL, 
./Propical.pdf, 0005, , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Propiconazol, fungicida, Concentrado, Emulsionable, -, EC, 
./Kanemite.pdf, 0253, KANEMITE, 15, SC, ., , Acequinocyl, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Novofix_RF.pdf, 1669, , ., , Dimetomorph, +, Mancozeb, +, Metalaxyl, FUNGICIDA, Polvo, Mojable, -, WP, 
./Xaler.pdf, 2286, , ., , Mancozeb, +, Clorotalonil, FUNGICIDA, Granulos, Dispersables, -, WG, 
./Ciperex.pdf, 0014, CIPEREX, ., , Cipermetrina, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Polythion.pdf, 2291, , ., , Azufre, (s), FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Calliquat.pdf, 0010, , ., , Paraquat, HERBICIDA, Concentrado, Soluble, -, SL, 
./Dinamic.pdf, 0450, DINAMIC®, 70, WG, ., , Amicarbazone, HERBICIDA, Gránulos, Dispersables, -, WG, 
./Flush.pdf, 1416, , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Procloraz, fungicida, Concentrado, Emulsionable, EC, 
./Space.pdf, 1114, , ., :, Fipronil, insecticida, Suspensión, Concentrada, SC, 
./Glory.pdf, 1831, , ., , Azoxystrobin, +, Mancozeb, FUNGICIDA, Gránulos, Dispersables, -, WG, 
./Evoprid_600_ES.pdf, 0213, EVOPRID, 600, FS, ., , Imidacloprid, INSECTICIDA, Suspensión, concentrada, -, SC, 
./Clorpiricol.pdf, 1082, CLORPIRICOL, ®, 4, EC, ., , Clorpirifos, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Terminus.pdf, 1693, TERMINUS, 220, EC, ., , Clorpirifos, /, Cipermetrina, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Isolan.pdf, 0790, , ., , Isoprothiolan, FUNGICIDA, Concentrado, Emulsionable, -, EC, 
./Stam_M4.pdf, 2386, STAM, M-4, EC, ., , Propanil, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Ciclazole.pdf, 0233, , ., , Tryciclazole, FUNGICIDA, Polvo, Mojable, (WP), 
./Inhibit.pdf, 0454, INHIBIT, 50, EC, ., , Lufenuron, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Amanora.pdf, 2113, , ., , 2,4-D, ácido, HERBICIDA, Concentrado, Soluble, -, SL, 
./Businyer.pdf, 1409, , ., , Metribuzina, HERBICIDA, Suspensión, Concentrada, -, SC, 
./Akito.pdf, 1322, AKITO, 38, EC, ., , Permetrina, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Fascinate.pdf, 1674, FASCINATE, 280, SL, ., , Glufosinato, de, Amonio, HERBICIDA, Concentrado, Soluble, -, SL, 
./Evisect.pdf, 2128, , ., , Thiocyclam, hidrogenoxalato, INSECTICIDA, Polvo, Soluble, -, SP, 
./Mancol.pdf, 0003, , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Mancozeb, fungicida, Suspensión, Concentrada, -, SC, 
./Sulfonil_100_WP.pdf, , SULFONIL, EVOFARMS, 100, WP, ., , Pyrasosulfuron, etyl, HERBICIDA, Polvo, Mojable, -, WP, 
./Yoker.pdf, 934, YOKER, ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Propamocarb, clorhidrato, fungicida, Concentrado, Soluble, -, SL, 
./onsite.pdf, 1819, , ., , Clomazone, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Carbovax.pdf, 0124, CARBOVAX, SC, ., , Carboxin, +, Thiram, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Syllit.pdf, 504, , ., AGRIPHAR, DE, COLOMBIA, S.A.S, Dodine, fungicida, Suspensión, Concentrada, –, SC, 
./Safari.pdf, 1841, SAFARI, ., , Glufosinato, de, Amonio, HERBICIDA, Concentrado, Soluble, -, SL, 
./Evoprid.pdf, 0114, , ., , Imidacloprid, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Peleo.pdf, 1414, , ., , Carbendazim, +, Flutriafol, FUNGICIDA, Gránulos, Dispersables, -, WG, 
./Zellus.pdf, 0002, , ., , Benomyl, FUNGICIDA, Polvo, Mojable, -, WP, 
./Holdown.pdf, 1777, HOLDOWN, CS, ., , Pendimetalina, +, Clomazone, HERBICIDA, Capsulas, en, suspensión, -, CS, 
./Ippon.pdf, 0462, , ., , Iprodione, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Methox_216SL.pdf, 0154, , ., , Metomil, INSECTICIDA, Concentrado, Soluble, -, SL, 
./Dimilin.pdf, 2472, DIMILIN, 48, SC, ., , Diflubenzuron, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Antraneb.pdf, 0481, , ., , Propineb, FUNGICIDA, Polvo, Mojable, -, WP, 
./Maestro.pdf, , , ., ARYSTA, LIFESCIENCE, COLOMBIA, S.A.S, Captan, fungicida, Polvo, Mojable, -WP, 
./Difecol.pdf, 0422, , ., , Difenoconazole, FUNGICIDA, Concentrado, Emulsionable, -, EC, 
./Carbencal.pdf, 0004, , ., , Carbendazim, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Calriz.pdf, 0011, , ., , Propanil, -, Triclopyr, HERBICIDA, Concentrado, Emulsionable, -, EC, 
./Pablanco.pdf, 1398, , ., , Bifentrina, INSECTICIDA, Concentrado, Emulsionable, –, C.E., 
./Agripyr.pdf, 1568, , ., , Pyrimethanil, FUNGICIDA, Suspensión, Concentrada, -, SC, 
./Fury.pdf, 0305, , ., , Zeta, cypermethryn, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Magestic.pdf, 2459, , ., , Acefato, INSECTICIDA, Polvo, Soluble, –, SP, 
./Glifosol.pdf, 2461, , ., , Glifosato, HERBICIDA, Concentrado, Soluble-, SL, 
./Methox.pdf, 0133, , ., , Metomil, INSECTICIDA, Polvo, Soluble, -, SP, 
./Starmite.pdf, 0837, , ., , Cyenopyrafen, INSECTICIDA, Suspensión, Concentrada, -, SC, 
./Met_Met.pdf, , MET, MET, 600, WG, ., , Metsulfuron, metil, HERBICIDA, Gránulos, Dispersables, -, WG, 
./Profenocron.pdf, 0018, PROFENOCRON, ., , Profenofos, INSECTICIDA, Concentrado, Emulsionable, -, EC, 
./Trifon.pdf, 0310, TRIFON, 250, EC, ., , Triadimefon, FUNGICIDA, Concentrado, Emulsionable, -, EC, 
